Sample Name,CT
preT_726,18.60025787
preT_726,18.20456505
preT_726,17.6493454
preT_1105,19.92622375
preT_1105,19.8246727
preT_1105,19.65335083
preT_1423,Undetermined
preT_1423,Undetermined
preT_1423,Undetermined
3wk_1214,Undetermined
3wk_1214,34.403759
3wk_1214,34.97294998
preT_817,18.75568581
preT_817,18.22392845
preT_817,17.8640213
preT_1111,20.77682877
preT_1111,20.66721535
preT_1111,20.68218231
preT_1429,36.42060852
preT_1429,Undetermined
preT_1429,Undetermined
3wk_1225,Undetermined
3wk_1225,Undetermined
3wk_1225,Undetermined
preT_828,25.95664024
preT_828,25.75540733
preT_828,25.41648674
3wk_1304,25.62528801
3wk_1304,Undetermined
3wk_1304,36.31103897
3wk_726,20.41910172
3wk_726,20.39215851
3wk_726,20.45708656
3wk_1319,Undetermined
3wk_1319,Undetermined
3wk_1319,37.0510025
preT_914,20.73152351
preT_914,21.13479424
preT_914,20.25943375
3wk_1309,34.76378632
3wk_1309,Undetermined
3wk_1309,35.76094818
3wk_815,24.18695641
3wk_815,23.7905674
3wk_815,23.8393898
3wk_1331,Undetermined
3wk_1331,Undetermined
3wk_1331,37.07964706
preT_918,Undetermined
preT_918,35.63532257
preT_918,Undetermined
3wk_1318,32.91429901
3wk_1318,Undetermined
3wk_1318,Undetermined
3wk_912,Undetermined
3wk_912,Undetermined
3wk_912,Undetermined
3wk_1419,35.54308319
3wk_1419,Undetermined
3wk_1419,Undetermined
preT_921,19.28297806
preT_921,18.62407684
preT_921,20.54888725
preT_1228,22.35750771
preT_1228,22.29423332
preT_1228,21.96701241
3wk_1007,26.76054573
3wk_1007,27.08860779
3wk_1007,26.7481041
preT_1005,28.44841003
preT_1005,27.41021156
preT_1005,27.60042191
3wk_1211,Undetermined
3wk_1211,Undetermined
3wk_1211,34.85088348
preT_1007,36.20864105
preT_1007,Undetermined
preT_1007,37.84243774
preT_1314,Undetermined
preT_1314,Undetermined
preT_1314,Undetermined
3wk_1211,Undetermined
3wk_1211,Undetermined
3wk_1211,39.40234756
preT_601,Undetermined
preT_601,Undetermined
preT_601,39.98516464
preT_624,22.98327827
preT_624,23.34315491
preT_624,23.35275269
preT_705,21.52159882
preT_705,20.91575241
preT_705,19.41736031
preT_604,25.58190536
preT_604,25.37810326
preT_604,25.21805763
preT_625,19.40349007
preT_625,19.2732563
preT_625,19.27993774
preT_706,27.98970032
preT_706,27.39517784
preT_706,25.01011658
preT_614,20.35980988
preT_614,19.73222351
preT_614,19.74760437
preT_626,24.26805878
preT_626,24.54891396
preT_626,24.56015587
preT_708,23.6722908
preT_708,23.24960518
preT_708,22.19011497
preT_616,28.04846191
preT_616,27.24391174
preT_616,27.81665993
preT_627,23.96647835
preT_627,23.96147728
preT_627,24.00372124
preT_709,23.92807198
preT_709,23.82124138
preT_709,23.74245262
preT_617,30.72834015
preT_617,28.24736786
preT_617,30.34608459
preT_628,20.36010742
preT_628,20.51306534
preT_628,20.43756485
preT_710,19.82352829
preT_710,19.76280785
preT_710,18.06319618
preT_618,19.26099396
preT_618,18.76288033
preT_618,18.55364609
preT_630,Undetermined
preT_630,Undetermined
preT_630,Undetermined
preT_713,32.81752396
preT_713,32.37193298
preT_713,33.40334702
preT_620,22.89279175
preT_620,21.92584991
preT_620,21.86795044
preT_701,20.56139565
preT_701,20.65494728
preT_701,20.65565109
preT_621,34.2074852
preT_621,31.62597656
preT_621,33.22267532
preT_702,18.42778778
preT_702,18.24215698
preT_702,18.23049927
preT_715,19.24062157
preT_715,19.98568726
preT_715,20.4555397
preT_716,Undetermined
preT_716,38.02326965
preT_716,41.06295395
preT_801,19.10415649
preT_801,18.96181297
preT_801,18.75194359
preT_815,20.27364349
preT_815,20.70714188
preT_815,20.69319344
preT_1129,27.9403019
preT_1129,27.81707954
preT_1129,29.35568237
preT_717,21.46468353
preT_717,20.96752548
preT_717,20.99115372
preT_802,19.04059792
preT_802,19.07526398
preT_802,18.84031677
preT_821,24.58247566
preT_821,24.75417709
preT_821,24.58989716
preT_1201,39.97215652
preT_1201,Undetermined
preT_1201,Undetermined
preT_719,23.54073715
preT_719,23.1278286
preT_719,23.11587906
preT_804,17.40955353
preT_804,17.50442696
preT_804,17.49565506
preT_823,21.79826355
preT_823,21.79576683
preT_823,21.90530396
preT_1206,41.08652878
preT_1206,Undetermined
preT_1206,42.02149582
preT_721,19.26944542
preT_721,20.35642624
preT_721,20.3006649
preT_808,22.59656334
preT_808,22.71034431
preT_808,22.5246067
preT_824,22.85863495
preT_824,22.79784584
preT_824,22.89803314
preT_1309,25.44257164
preT_1309,24.89558601
preT_1309,25.83721733
preT_723,20.64614487
preT_723,20.18945313
preT_723,20.14529991
preT_810,24.12968826
preT_810,24.42133713
preT_810,24.22544098
preT_825,22.77637863
preT_825,22.84549713
preT_825,22.88582039
preT_714,18.13748169
preT_714,18.20133972
preT_714,18.61083031
preT_725,24.93062782
